source_id,target_id,relationship_type,weight,interaction_freq
E01934,E00130,co-investor,0.47,50
E00555,E02628,shared_director,0.44,25
E01838,E01547,shared_director,0.17,43
E02209,E00545,co-investor,0.21,35
E01610,E02167,parent_company,0.76,15
E00015,E00094,co-investor,0.52,47
E02231,E01738,shared_director,0.84,16
E01887,E01418,parent_company,0.35,47
E00463,E00132,shared_director,0.65,2
E00986,E00845,supplier,0.19,3
E01829,E02449,supplier,0.32,3
E01648,E01798,parent_company,0.59,49
E00232,E00574,co-investor,0.31,47
E02360,E01307,co-investor,0.31,10
E02705,E02136,parent_company,0.47,18
E00250,E02281,parent_company,0.66,28
E02277,E02031,supplier,0.98,42
E02750,E01562,co-investor,0.73,27
E00612,E01229,shared_director,0.27,35
E01940,E00988,parent_company,0.37,46
E00592,E01897,supplier,0.61,27
E02283,E02171,parent_company,0.45,17
E00833,E01353,supplier,0.93,24
E00379,E02194,parent_company,0.15,25
E02760,E02478,supplier,0.89,13
E02407,E02751,parent_company,0.53,22
E01242,E00063,parent_company,0.94,48
E00481,E01962,parent_company,0.73,46
E00838,E01625,parent_company,0.6,50
E01160,E01560,shared_director,0.58,23
E01264,E01072,co-investor,0.56,32
E01909,E00404,shared_director,0.79,21
E00833,E01519,co-investor,0.47,37
E00907,E00598,supplier,0.33,38
E02373,E01711,co-investor,0.24,22
E00943,E01556,parent_company,0.55,42
E02806,E01383,co-investor,0.79,32
E02629,E02010,shared_director,0.25,23
E00694,E00574,shared_director,0.27,35
E02629,E00241,supplier,0.86,5
E02738,E00199,supplier,0.47,41
E00948,E00279,parent_company,0.11,33
E01868,E01529,supplier,0.66,43
E02526,E01980,shared_director,0.11,35
E02260,E01685,supplier,0.12,47
E01126,E02195,co-investor,0.12,45
E02761,E01764,parent_company,0.2,7
E02148,E00610,parent_company,0.27,34
E01034,E01452,co-investor,0.82,6
E01529,E01664,shared_director,0.61,45
E00926,E01229,supplier,0.69,42
E00130,E00383,shared_director,0.44,36
E01950,E00230,supplier,0.73,6
E02048,E01778,co-investor,0.61,7
E02164,E00175,parent_company,0.29,45
E02322,E01948,co-investor,0.14,5
E02804,E01149,supplier,0.26,21
E00065,E00849,parent_company,0.78,46
E01632,E00316,co-investor,0.25,16
E02322,E01594,co-investor,0.45,48
E00574,E02824,supplier,0.55,23
E00220,E00401,shared_director,0.31,5
E01396,E02479,shared_director,0.97,21
E00122,E02598,co-investor,0.81,29
E02010,E00935,co-investor,0.6,25
E01769,E00761,shared_director,0.18,40
E01210,E01010,supplier,0.17,10
E01557,E02916,parent_company,0.77,21
E01478,E00437,supplier,0.1,20
E01822,E01475,co-investor,0.19,6
E00768,E01766,shared_director,0.6,33
E01672,E00424,supplier,0.18,36
E00382,E02446,co-investor,0.88,1
E01196,E01695,shared_director,0.8,47
E02292,E00995,parent_company,0.72,11
E00569,E01102,co-investor,0.34,10
E00260,E00685,shared_director,0.35,20
E01984,E00316,co-investor,0.33,16
E02561,E02031,parent_company,0.51,9
E01248,E00028,shared_director,0.4,40
E01557,E01350,shared_director,0.4,42
E02435,E00558,co-investor,0.39,45
E00823,E01963,co-investor,0.26,26
E01308,E01194,shared_director,0.97,16
E01335,E01541,co-investor,0.83,26
E01496,E00467,parent_company,0.63,35
E00737,E02793,supplier,0.96,30
E02902,E00859,shared_director,0.82,45
E00284,E01676,shared_director,0.23,20
E00992,E01035,parent_company,0.74,25
E00303,E01840,shared_director,0.62,35
E02076,E02834,shared_director,0.59,24
E02874,E02200,supplier,0.2,16
E02694,E02723,co-investor,0.25,40
E00182,E02307,shared_director,0.97,22
E01764,E00434,supplier,0.19,15
E02092,E02125,parent_company,0.5,26
E01897,E02784,parent_company,0.41,2
E01978,E00429,co-investor,0.47,6
E00476,E00581,co-investor,0.38,30
E00848,E02135,shared_director,0.41,7
E01795,E02854,shared_director,0.39,20
E00184,E02912,supplier,0.12,22
E02655,E00448,parent_company,0.94,48
E01000,E02114,parent_company,0.6,22
E02294,E01747,shared_director,0.31,26
E02580,E00756,parent_company,0.68,28
E01621,E00120,parent_company,0.5,28
E01593,E00019,parent_company,0.29,49
E02883,E00257,supplier,0.82,35
E00766,E01499,co-investor,0.28,8
E01075,E02748,shared_director,0.57,41
E01284,E02446,shared_director,0.65,38
E00468,E01426,co-investor,0.86,40
E00707,E02760,co-investor,0.93,38
E00348,E02753,parent_company,0.38,16
E01251,E00480,parent_company,0.44,10
E02093,E01592,shared_director,0.64,37
E01572,E01733,parent_company,0.54,35
E02841,E02643,parent_company,0.6,32
E01184,E00575,parent_company,0.38,29
E02538,E00220,co-investor,0.96,32
E00560,E00800,shared_director,0.97,33
E02675,E02028,shared_director,0.72,27
E02909,E01819,shared_director,0.25,37
E00127,E00904,co-investor,0.13,15
E02203,E01183,parent_company,0.8,37
E02029,E02252,supplier,0.62,18
E02225,E01503,supplier,0.78,29
E02238,E00896,shared_director,0.19,42
E01014,E01220,supplier,0.5,23
E00357,E01799,supplier,0.8,16
E00860,E02409,co-investor,0.87,40
E02592,E01754,parent_company,0.65,14
E00848,E00244,co-investor,0.58,39
E02207,E00690,co-investor,0.98,19
E01186,E02346,co-investor,0.96,33
E02783,E00391,parent_company,0.97,27
E00243,E01136,parent_company,0.73,9
E01023,E00600,co-investor,0.85,49
E02770,E01609,shared_director,0.23,41
E01101,E02572,shared_director,0.44,5
E02596,E00382,shared_director,0.56,18
E02846,E01512,shared_director,0.96,21
E02384,E00011,supplier,0.76,30
E02601,E02721,co-investor,0.87,35
E01630,E00893,shared_director,0.84,32
E01100,E01323,co-investor,0.4,37
E00535,E02319,shared_director,0.81,44
E00199,E00189,supplier,0.66,30
E00067,E00509,parent_company,0.5,1
E01753,E00829,parent_company,0.89,20
E00652,E01123,supplier,0.69,17
E00338,E01524,parent_company,0.15,41
E01252,E02865,parent_company,0.49,6
E02883,E00390,supplier,0.29,5
E00544,E02432,parent_company,0.57,29
E00039,E00034,co-investor,0.84,28
E02843,E00542,shared_director,0.16,25
E00366,E00420,supplier,0.38,20
E00562,E01568,parent_company,0.68,44
E00586,E00281,supplier,0.65,11
E01803,E01439,parent_company,0.67,10
E01687,E02524,shared_director,0.87,6
E00412,E00574,supplier,0.63,25
E01440,E01759,co-investor,0.81,16
E01135,E02641,supplier,0.32,39
E02458,E02489,co-investor,0.8,45
E00110,E02697,co-investor,0.28,39
E02088,E00773,shared_director,0.37,4
E00981,E02028,shared_director,0.2,32
E02614,E02433,supplier,0.58,1
E01480,E01297,parent_company,0.45,37
E01724,E01497,parent_company,0.79,50
E00299,E00069,supplier,0.11,14
E00164,E00248,shared_director,0.56,41
E02919,E02053,shared_director,0.48,26
E00338,E02624,parent_company,0.35,20
E00324,E02095,parent_company,0.98,10
E02198,E01339,shared_director,0.63,49
E02662,E02790,supplier,0.38,28
E00978,E00238,parent_company,0.18,28
E00476,E01858,supplier,0.38,48
E02696,E00720,supplier,0.11,9
E02874,E00047,parent_company,0.55,23
E02143,E02119,co-investor,0.25,9
E01101,E00484,supplier,0.4,28
E01115,E02146,supplier,0.34,37
E02571,E00316,shared_director,0.51,24
E00228,E02047,parent_company,0.43,17
E00422,E02351,supplier,0.31,33
E00011,E00181,supplier,0.32,31
E01491,E01569,parent_company,0.26,3
E02265,E02925,shared_director,0.3,16
E01705,E01311,co-investor,0.84,37
E01528,E00490,supplier,0.26,34
E00189,E01643,supplier,0.89,19
E01273,E01341,supplier,0.6,1
E01512,E00822,co-investor,0.61,20
E02551,E00994,shared_director,0.43,32
E00801,E02239,parent_company,0.24,27
E00098,E00955,co-investor,0.67,45
E00040,E01373,supplier,0.78,25
E01260,E00426,parent_company,0.58,16
E01720,E02016,supplier,0.98,10
E02915,E01147,supplier,0.14,15
E02129,E01692,co-investor,0.51,48
E00348,E02379,supplier,0.55,41
E01616,E00307,supplier,0.49,9
E00970,E01195,co-investor,0.87,26
E02871,E01337,co-investor,0.51,15
E00306,E00831,parent_company,0.8,38
E00447,E00637,supplier,0.25,30
E01287,E01666,supplier,0.58,50
E00851,E01852,co-investor,0.52,8
E00371,E00646,co-investor,0.84,45
E02472,E00166,parent_company,0.85,21
E00608,E00374,parent_company,0.97,26
E02104,E00201,co-investor,0.33,12
E00128,E01657,shared_director,0.6,36
E01024,E00388,shared_director,0.19,9
E00498,E00049,supplier,0.85,15
E00536,E00812,shared_director,0.44,41
E02641,E00345,co-investor,0.93,5
E00090,E00265,parent_company,0.91,29
E00528,E00377,co-investor,0.21,30
E00208,E00689,shared_director,0.84,26
E02033,E00121,shared_director,0.71,12
E01450,E00880,parent_company,0.35,29
E00609,E00142,parent_company,0.68,32
E01688,E02256,shared_director,0.15,18
E01569,E00563,shared_director,0.28,34
E01021,E02584,supplier,0.99,46
E01471,E01965,shared_director,0.41,37
E02058,E01318,shared_director,0.34,2
E01307,E02446,parent_company,0.13,50
E01151,E00240,shared_director,0.58,50
E02393,E00954,parent_company,0.19,43
E00988,E01092,supplier,0.79,15
E02359,E01591,co-investor,0.94,12
E00722,E00969,co-investor,0.83,45
E01470,E02424,supplier,0.73,23
E02326,E02309,parent_company,0.61,13
E02017,E02221,co-investor,0.26,3
E00370,E00231,parent_company,0.64,2
E02157,E01958,supplier,0.4,40
E00826,E00535,co-investor,0.75,21
E00244,E00090,parent_company,0.63,10
E00455,E02156,co-investor,0.96,24
E02886,E02713,shared_director,0.63,22
E01237,E01322,parent_company,0.98,47
E01790,E02619,shared_director,0.68,12
E02897,E02302,co-investor,0.3,38
E00719,E01550,co-investor,0.76,19
E00522,E00728,supplier,0.95,37
E01604,E02325,supplier,0.26,21
E02505,E00905,supplier,0.94,10
E01357,E00319,parent_company,0.41,21
E00688,E02606,supplier,0.84,43
E02618,E01376,shared_director,0.11,14
E01023,E02840,supplier,0.42,7
E00006,E00198,shared_director,0.49,27
E00682,E01696,shared_director,0.89,23
E02237,E01538,supplier,0.85,37
E02667,E02815,parent_company,0.25,5
E00137,E01208,supplier,0.39,7
E00304,E01401,parent_company,0.9,11
E00308,E02241,supplier,0.4,40
E01978,E02886,supplier,0.49,42
E00676,E02488,shared_director,0.24,7
E01357,E00842,parent_company,0.47,36
E02213,E01087,co-investor,0.37,7
E00204,E01610,shared_director,0.24,24
E00016,E01752,supplier,0.37,43
E02561,E02459,shared_director,0.28,2
E00848,E00700,co-investor,0.98,31
E00474,E01264,shared_director,0.52,43
E01086,E00374,shared_director,0.27,25
E01514,E00765,shared_director,0.14,29
E01905,E01079,parent_company,0.85,37
E00253,E00620,supplier,0.18,23
E02218,E01696,parent_company,0.6,25
E02141,E01715,shared_director,0.62,16
E01951,E01225,supplier,0.46,46
E00143,E02057,parent_company,0.21,49
E01840,E00709,parent_company,0.97,13
E00517,E00175,shared_director,0.17,44
E01784,E00828,parent_company,0.85,17
E01310,E00275,supplier,0.45,26
E02262,E01336,co-investor,0.57,1
E02869,E02553,shared_director,0.2,10
E00608,E02321,supplier,0.93,37
E00414,E01172,co-investor,0.89,17
E01569,E02683,shared_director,0.61,31
E00154,E00706,co-investor,0.46,40
E02494,E02789,shared_director,0.13,22
E02829,E00974,supplier,0.77,18
E01526,E00083,co-investor,0.84,20
E01274,E01149,shared_director,0.87,44
E00403,E00934,parent_company,0.37,48
E01815,E01315,co-investor,0.76,39
E02645,E00366,parent_company,0.5,27
E01985,E02116,co-investor,0.84,33
E00652,E00269,co-investor,0.74,26
E00556,E02148,supplier,0.26,13
E00237,E01022,supplier,0.51,24
E02887,E00816,co-investor,0.43,30
E02069,E01626,supplier,0.71,16
E01526,E02003,shared_director,0.26,31
E02404,E02259,co-investor,0.41,17
E02822,E00371,co-investor,0.12,4
E00668,E02344,parent_company,0.87,42
E00923,E02776,parent_company,0.34,27
E02103,E00083,supplier,0.53,9
E02652,E00710,supplier,0.3,39
E01252,E02920,co-investor,0.48,25
E01429,E01881,co-investor,0.3,20
E02774,E02133,shared_director,0.63,1
E02096,E02714,co-investor,0.61,39
E02495,E01158,co-investor,0.72,31
E00262,E01378,co-investor,0.68,18
E01070,E02688,co-investor,0.27,34
E00985,E00233,shared_director,0.69,44
E00574,E00105,shared_director,1.0,17
E01715,E01658,shared_director,0.76,38
E02901,E02344,parent_company,0.41,46
E00911,E02812,shared_director,0.92,43
E01469,E02078,co-investor,0.86,43
E02287,E00742,co-investor,0.19,9
E01060,E02290,parent_company,0.95,22
E02681,E00366,parent_company,0.42,48
E01258,E01723,co-investor,0.43,38
E01205,E01900,supplier,0.52,41
E02391,E02377,supplier,0.52,13
E02050,E00491,shared_director,0.58,27
E00222,E00618,parent_company,0.99,22
E01677,E02333,shared_director,0.23,46
E00739,E00332,shared_director,0.4,12
E01284,E02599,supplier,0.1,18
E00858,E00691,parent_company,0.54,49
E00361,E00531,shared_director,0.67,26
E01758,E01956,shared_director,0.1,35
E00817,E01529,supplier,0.9,49
E02176,E00781,supplier,0.71,41
E01020,E00927,co-investor,0.38,7
E01572,E02062,co-investor,0.25,3
E01222,E01192,shared_director,0.76,39
E02147,E01384,shared_director,0.9,9
E01404,E02008,co-investor,0.78,11
E01653,E00079,parent_company,0.3,9
E00866,E00090,parent_company,0.21,46
E02665,E00154,shared_director,0.89,17
E02191,E02553,supplier,0.63,4
E02712,E00443,supplier,0.14,8
E01708,E01820,shared_director,0.21,17
E01944,E02875,parent_company,0.28,44
E02582,E00039,co-investor,0.48,7
E02714,E02132,co-investor,0.66,45
E00562,E01716,supplier,0.56,40
E00483,E01158,supplier,0.81,32
E00814,E02495,parent_company,0.8,34
E00827,E01467,shared_director,0.37,3
E02246,E02034,parent_company,0.72,31
E01355,E00961,supplier,0.11,6
E00453,E02352,shared_director,0.23,6
E02096,E00308,supplier,0.91,42
E00947,E01871,co-investor,0.34,4
E00409,E00716,supplier,0.87,24
E02773,E01281,shared_director,0.76,7
E00188,E00040,parent_company,0.7,11
E01347,E01465,shared_director,0.96,18
E00381,E01527,co-investor,0.26,26
E01640,E01870,co-investor,0.85,45
E01959,E01728,parent_company,0.2,45
E00241,E00653,supplier,0.47,38
E01978,E02331,shared_director,0.26,25
E01469,E02505,supplier,0.88,47
E00536,E01979,shared_director,0.2,27
E01806,E00189,supplier,0.34,21
E00051,E02886,parent_company,0.98,43
E01386,E02127,supplier,0.49,47
E01019,E01974,co-investor,0.7,42
E01577,E00609,supplier,0.11,11
E02071,E01923,shared_director,0.88,5
E02014,E01314,parent_company,0.4,18
E00207,E02077,parent_company,0.6,25
E01652,E00963,supplier,0.51,37
E01836,E00361,shared_director,0.5,8
E02038,E02677,supplier,0.19,27
E00147,E02283,supplier,0.84,39
E02536,E02612,co-investor,0.9,36
E00848,E02682,shared_director,0.96,24
E00223,E00914,shared_director,0.4,50
E02539,E02458,shared_director,0.74,24
E02933,E01854,supplier,0.19,43
E00909,E00009,co-investor,0.42,41
E01196,E02244,co-investor,0.73,3
E00673,E02017,parent_company,0.84,48
E01677,E00439,co-investor,0.65,13
E00495,E01610,parent_company,0.51,13
E01385,E00442,shared_director,0.14,41
E02754,E02412,supplier,0.79,29
E01874,E02698,parent_company,0.97,1
E02173,E00199,shared_director,0.85,31
E02083,E00726,parent_company,0.76,9
E00425,E01587,co-investor,0.55,25
E01715,E02495,parent_company,0.35,22
E01205,E01855,parent_company,0.22,39
E02868,E02099,co-investor,0.86,36
E01286,E02916,parent_company,0.28,40
E02927,E01191,co-investor,0.93,9
E02910,E02663,parent_company,0.55,45
E02609,E01321,supplier,0.78,36
E01968,E02388,shared_director,0.71,35
E01172,E01731,supplier,0.57,2
E01561,E00596,supplier,0.7,13
E01094,E00660,co-investor,0.72,10
E00255,E02829,co-investor,0.28,35
E00133,E01470,shared_director,0.19,44
E02302,E00919,shared_director,0.31,45
E01179,E02839,supplier,0.93,25
E01707,E02807,co-investor,0.97,4
E00054,E01030,parent_company,0.66,50
E01815,E00924,co-investor,0.78,35
E02472,E00805,parent_company,0.36,12
E02797,E00306,parent_company,0.97,48
E02105,E00489,shared_director,0.14,18
E02280,E01083,parent_company,0.24,17
E00024,E01354,shared_director,0.74,10
E00164,E00630,co-investor,0.64,50
E02562,E02522,co-investor,0.54,37
E02254,E01467,supplier,0.81,21
E02153,E00901,parent_company,0.57,33
E00653,E01704,shared_director,0.18,15
E00874,E02718,co-investor,0.4,19
E00895,E02533,shared_director,1.0,49
E02660,E00037,supplier,0.7,29
E00985,E02631,parent_company,0.96,44
E01315,E01563,supplier,0.45,35
E01159,E00102,co-investor,0.56,33
E01826,E01994,supplier,0.37,42
E00789,E01313,supplier,0.95,11
E02204,E02185,supplier,0.66,14
E02746,E02579,parent_company,0.88,28
E00426,E00843,shared_director,0.68,5
E02811,E00630,supplier,0.51,22
E00156,E00359,supplier,0.15,17
E02286,E00289,parent_company,0.92,27
E01590,E01848,shared_director,0.49,2
E01596,E02758,supplier,0.58,42
E02533,E00260,supplier,0.73,5
E01466,E02060,supplier,0.36,44
E01235,E02485,supplier,0.35,29
E01563,E01619,supplier,0.53,35
E00901,E00559,shared_director,0.82,35
E01209,E02598,parent_company,0.37,47
E02654,E01529,supplier,0.6,36
E00580,E00505,supplier,0.1,39
E01615,E02201,supplier,0.37,48
E01409,E00868,shared_director,0.92,33
E00584,E00660,parent_company,0.3,17
E00796,E00470,parent_company,0.7,37
E00223,E02249,shared_director,0.68,5
E01191,E02752,supplier,0.33,13
E02379,E01996,co-investor,0.42,43
E02685,E00961,supplier,0.36,5
E00793,E01302,shared_director,0.51,40
E02701,E01253,parent_company,0.61,24
E01296,E01755,parent_company,0.1,16
E00908,E02918,shared_director,0.35,24
E00551,E02784,co-investor,0.89,30
E01825,E01470,co-investor,0.54,7
E00720,E02645,supplier,0.86,9
E02207,E00805,co-investor,0.76,41
E00314,E00309,supplier,0.86,41
E00128,E02384,shared_director,0.79,14
E00151,E02260,co-investor,0.59,35
E01934,E02679,parent_company,0.43,15
E02416,E01192,parent_company,0.52,33
E00371,E01626,co-investor,0.55,43
E00979,E02516,parent_company,0.78,9
E01828,E00653,parent_company,0.61,37
E02701,E00599,shared_director,0.95,3
E00897,E01998,parent_company,0.16,24
E00959,E00176,parent_company,0.57,24
E01590,E01924,shared_director,0.89,3
E02657,E01328,supplier,0.73,34
E02596,E01121,co-investor,0.62,37
E00713,E01543,shared_director,0.43,42
E00319,E02117,co-investor,0.44,15
E02116,E01663,co-investor,0.84,23
E01995,E01975,supplier,0.55,9
E01802,E00679,parent_company,0.17,42
E01151,E00867,parent_company,0.27,24
E02466,E00485,parent_company,0.47,22
E00465,E01973,shared_director,0.53,38
E00661,E02652,shared_director,0.12,3
E00524,E02350,parent_company,0.22,33
E00161,E02345,parent_company,0.15,17
E00738,E02117,shared_director,0.64,37
E02612,E00077,co-investor,0.95,14
E01840,E02485,shared_director,0.88,11
E00899,E01683,parent_company,0.82,50
E00745,E02553,co-investor,0.25,44
E01404,E01858,supplier,0.31,25
E00542,E00445,supplier,0.28,33
E02804,E01720,parent_company,0.64,12
E01950,E02519,supplier,0.89,35
E02062,E00482,supplier,0.53,9
E02472,E02209,supplier,0.91,50
E02780,E02660,shared_director,0.57,24
E00178,E02858,shared_director,0.31,31
E01562,E01436,supplier,0.48,17
E01955,E00953,supplier,0.35,35
E01674,E01056,parent_company,0.1,48
E00030,E02368,supplier,0.57,25
E02682,E00842,co-investor,0.47,7
E00634,E01746,co-investor,0.34,35
E01735,E02313,co-investor,0.65,44
E01628,E00835,shared_director,0.6,36
E01977,E00733,co-investor,0.6,31
E01040,E01257,co-investor,0.8,26
E00566,E02701,supplier,0.77,29
E02865,E00663,supplier,0.29,26
E01387,E02256,supplier,0.24,41
E00022,E00374,parent_company,0.52,39
E01784,E00362,supplier,0.34,24
E00328,E02495,supplier,0.75,26
E02515,E02688,co-investor,0.74,39
E00236,E00718,shared_director,0.5,13
E02691,E02123,co-investor,0.28,39
E02092,E02113,parent_company,0.65,44
E00148,E01474,parent_company,0.69,11
E00356,E01131,shared_director,0.42,26
E01661,E02401,parent_company,0.57,48
E02883,E00282,supplier,0.59,47
E02291,E02388,co-investor,0.41,18
E00927,E02484,parent_company,0.51,26
E02355,E00020,co-investor,0.26,33
E00437,E02289,supplier,0.55,22
E00480,E02103,co-investor,0.89,37
E01025,E02844,shared_director,0.97,37
E01981,E00997,co-investor,0.97,30
E02792,E01888,supplier,0.53,17
E00277,E01568,parent_company,0.71,15
E01294,E01690,co-investor,0.56,1
E02871,E01079,parent_company,0.36,26
E02760,E01401,supplier,0.6,12
E01952,E01286,co-investor,0.3,37
