enterprise_id,revenue,debt_ratio,liquidity,legal_cases,credit_score,bankrupt
E00137,9011148,0.56,1.58,1,737,0
E00138,6435183,0.21,1.25,3,521,0
E00139,4061704,0.38,1.84,1,679,0
E00140,6053874,0.82,1.88,2,805,0
E00141,8241066,0.88,0.58,2,546,1
E00142,8140989,0.22,1.73,0,778,0
E00143,2992484,0.96,0.56,2,723,0
E00144,6020592,0.4,1.05,0,717,0
E00145,4683797,0.7,1.31,0,736,0
E00146,6613186,0.78,0.72,1,703,1
E00147,5767227,0.83,1.62,2,838,0
E00148,260557,0.95,0.51,3,518,1
E00149,4303973,0.38,0.75,2,679,1
E00150,5397116,0.87,1.37,1,661,0
E00151,2131270,0.22,1.57,1,784,0
E00152,6162044,0.73,1.87,2,560,0
E00153,1951969,0.77,1.56,0,584,0
E00154,3403121,0.71,1.51,2,534,0
E00155,7682623,0.33,1.09,3,504,0
E00156,3232444,0.89,0.5,2,575,0
E00157,6147933,0.25,0.68,2,752,0
E00158,1492852,0.15,1.3,0,506,0
E00159,9162629,0.75,1.51,0,668,0
E00160,4390892,0.53,1.13,2,629,0
E00161,5190641,0.86,1.6,0,637,1
E00162,5358073,0.45,1.28,5,799,0
E00163,6215133,0.25,0.61,0,825,1
E00164,1961640,0.85,0.79,0,590,1
E00165,4989327,0.59,1.76,2,662,0
E00166,3682462,0.27,1.59,2,817,0
E00167,1620885,0.75,1.84,0,752,1
E00168,6974244,0.56,0.68,1,700,0
E00169,4295654,0.64,1.99,2,519,0
E00170,5485040,0.51,0.81,2,728,0
E00171,5359690,0.85,0.52,2,662,0
E00172,4330295,0.85,2.0,1,664,0
E00173,8950054,0.74,0.92,4,731,0
E00174,4905470,0.19,1.5,4,827,0
E00175,1884095,0.85,0.77,0,737,0
E00176,4199237,0.7,1.37,1,619,0
E00177,5999475,0.73,1.86,0,606,0
E00178,6065190,0.43,0.98,1,749,0
E00179,2824438,0.89,1.51,2,835,0
E00180,6858965,0.75,0.78,3,783,1
E00181,1474266,0.2,1.44,0,697,0
E00182,7288270,0.47,1.0,1,719,0
E00183,2361304,0.9,0.82,4,650,0
E00184,4547509,0.14,0.97,2,785,0
E00185,7129137,0.97,0.77,2,764,0
E00186,5239211,0.71,1.85,4,719,0
E00187,6633397,0.67,1.1,1,715,0
E00188,6237323,0.34,0.87,2,814,0
E00189,7572537,0.32,1.17,2,655,0
E00190,7124419,0.95,0.98,3,715,1
E00191,4092511,0.37,1.62,0,834,0
E00192,6265883,0.8,1.96,1,613,0
E00193,1946896,0.45,1.16,1,660,0
E00194,4884190,0.23,1.79,2,802,0
E00195,6636969,0.11,1.35,0,597,0
E00196,5267695,0.59,0.74,2,656,1
E00197,5893279,0.98,1.54,2,661,1
E00198,4573455,0.43,1.27,1,541,0
E00199,7258138,0.42,1.48,2,679,0
E00200,4839168,0.41,1.83,2,802,0
E00201,4069099,0.57,1.16,1,829,0
E00202,6773034,0.5,1.85,2,550,0
E00203,2189680,0.89,1.63,1,751,1
E00204,6002066,0.55,1.23,2,849,0
E00205,2915030,0.56,1.4,0,619,0
E00206,7555853,0.22,0.99,0,574,0
E00207,4477945,0.98,1.98,0,661,0
E00208,5269969,0.32,1.5,0,648,0
E00209,5825140,0.17,0.57,1,622,0
E00210,1140630,0.7,0.99,3,640,0
E00211,3698830,0.64,1.43,1,681,0
E00212,7087091,0.47,0.58,2,776,1
E00213,6735530,0.48,0.54,0,756,1
E00214,5566064,0.81,1.18,1,824,0
E00215,2301072,0.28,1.0,2,744,0
E00216,6171006,0.84,1.16,0,585,1
E00217,6426799,0.68,0.89,2,570,1
E00218,5094034,0.48,0.75,2,768,0
E00219,7446341,0.51,1.53,0,679,0
E00220,3633136,0.33,1.27,1,778,0
E00221,3980284,0.78,0.8,2,648,0
E00222,100000,0.56,0.98,3,505,0
E00223,6839655,0.39,1.39,2,647,0
E00224,5627723,0.64,0.61,1,831,0
E00225,1636359,1.0,0.72,0,667,0
E00226,1482802,0.49,0.61,0,508,0
E00227,3254738,0.93,1.72,2,677,0
E00228,6587315,0.41,1.63,1,783,0
E00229,4399279,0.15,1.63,1,615,0
E00230,3390426,0.28,1.57,1,595,0
E00231,2987768,0.48,1.5,1,830,0
E00232,2898176,0.3,1.22,1,843,0
E00233,1132643,0.1,1.46,0,555,1
E00234,2585208,0.92,0.56,3,706,1
E00235,2858843,0.86,1.43,2,604,1
E00236,6365246,0.77,1.67,2,534,0
E00237,4668553,0.25,1.25,1,708,0
E00238,3348830,0.21,1.04,0,780,0
E00239,9619445,0.16,0.92,2,646,1
E00240,3672206,0.75,1.46,2,786,0
E00241,7334205,0.94,1.54,2,580,1
E00242,8242217,0.49,1.81,3,549,0
E00243,1860079,0.21,1.01,3,586,0
E00244,5147925,0.56,1.65,1,690,0
E00245,3964932,0.41,1.34,0,802,0
E00246,3802151,0.44,1.82,0,500,0
E00247,6110753,0.66,1.29,4,637,0
E00248,3754259,0.75,1.28,2,635,1
E00249,4008061,0.2,1.37,2,653,0
E00250,4663770,0.13,1.62,2,661,0
E00251,4253201,0.99,1.95,1,518,1
E00252,2652859,0.31,0.61,0,827,1
E00253,6591813,0.15,0.58,4,742,0
E00254,7097061,0.27,1.91,3,628,0
E00255,5687237,0.14,1.29,4,675,0
E00256,4246894,0.45,1.42,2,779,0
E00257,3589578,0.82,1.22,2,583,0
E00258,3592759,0.41,0.64,1,721,0
E00259,9714752,0.5,1.65,2,824,0
E00260,6875676,0.71,1.62,1,644,0
E00261,3319779,0.56,0.97,4,605,0
E00262,5329395,0.88,0.96,2,824,1
E00263,4274929,0.88,1.76,4,510,0
E00264,6167600,0.11,0.61,1,665,0
E00265,6086998,0.8,1.82,1,695,1
E00266,7167219,0.51,0.88,0,730,0
E00267,3298887,0.99,1.39,0,646,0
E00268,5209470,0.53,1.9,0,737,0
E00269,1502906,0.99,1.52,3,512,0
E00270,2485319,0.78,1.12,2,718,0
E00271,6768201,0.32,1.53,2,756,0
E00272,3098632,0.58,1.02,2,501,0
E00273,3318182,0.99,0.92,0,709,1
E00274,4983443,0.87,2.0,0,724,0
E00275,6389522,0.19,1.63,1,693,0
E00276,2878346,0.74,1.47,1,695,0
E00277,100000,0.41,1.03,2,759,0
E00278,3259553,0.11,0.57,1,556,0
E00279,7411256,0.46,0.55,1,612,0
E00280,5686270,0.31,1.33,0,712,0
E00281,7647749,0.84,1.64,3,778,0
E00282,2736367,0.4,1.31,2,743,0
E00283,1721207,0.84,1.76,3,616,0
E00284,5925097,0.1,0.55,2,586,0
E00285,5480045,0.38,1.05,1,762,0
E00286,5611108,0.32,0.86,1,799,0
E00287,6865993,0.31,1.17,3,612,0
E00288,5843369,0.16,0.61,3,663,0
E00289,5811235,0.27,1.93,0,503,1
E00290,6430014,0.6,0.83,2,617,0
E00291,6004833,0.36,1.88,2,522,0
E00292,6714891,0.48,1.14,0,732,0
E00293,7017041,0.44,1.98,2,589,0
E00294,8063377,0.89,1.33,3,754,0
E00295,3701617,0.91,1.9,1,591,0
E00296,5961124,0.54,0.51,2,654,0
E00297,4259353,0.4,1.62,3,806,0
E00298,3332882,0.2,1.85,2,614,0
E00299,3620919,0.96,0.71,1,706,0
E00300,5989911,0.15,0.64,1,580,0
E00301,5836505,0.37,1.14,2,602,0
E00302,5800824,0.37,1.9,3,579,0
E00303,4548572,0.39,1.31,1,602,0
E00304,5006829,0.25,1.29,2,739,0
E00305,6635505,0.8,0.71,2,764,0
E00306,2021213,0.21,0.5,2,532,0
E00307,5049284,0.67,1.72,3,534,0
E00308,5179912,0.21,0.63,2,748,0
E00309,6506608,0.16,1.45,2,549,0
E00310,2299503,0.92,1.87,1,779,0
E00311,7990267,0.27,0.81,0,741,0
E00312,5427260,0.84,1.5,0,651,0
E00313,5533161,0.59,0.62,1,646,0
E00314,4197240,0.17,1.41,5,538,0
E00315,6076044,0.96,0.75,3,688,0
E00316,5095908,0.32,1.6,4,524,0
E00317,7417963,0.87,0.95,1,743,0
E00318,2117011,0.25,1.2,1,722,0
E00319,5351091,0.87,1.4,2,729,0
E00320,5817024,0.11,0.76,0,652,0
E00321,4627255,0.56,1.61,1,787,0
E00322,4190668,0.79,0.95,1,607,0
E00323,4274085,0.94,1.49,1,532,0
E00324,5349278,0.92,0.74,1,610,0
E00325,1380082,0.84,1.53,2,620,0
E00326,6930029,0.9,0.69,3,515,1
E00327,4039736,0.28,1.14,0,726,0
E00328,5255605,0.36,0.87,1,510,0
E00329,5734204,0.36,1.62,2,702,0
E00330,3948389,0.44,0.89,1,701,0
E00331,4737923,0.45,1.82,2,597,0
E00332,929519,0.59,1.84,1,615,0
E00333,6464247,0.24,0.79,3,780,0
E00334,7160138,0.72,1.42,3,848,0
E00335,1598012,0.25,0.63,2,731,0
E00336,4187014,0.38,1.09,0,610,0
E00337,2540261,0.55,1.57,1,511,0
E00338,4644519,0.82,1.49,3,520,1
E00339,6297272,0.77,1.44,1,626,0
E00340,6974617,0.68,0.92,1,784,0
E00341,7243706,0.24,1.07,1,620,0
E00342,7621087,0.59,0.65,2,623,0
E00343,4555174,0.18,1.58,2,532,0
E00344,2706082,0.44,1.26,3,669,0
E00345,4770819,0.47,1.56,1,576,0
E00346,6266535,0.14,0.87,2,796,0
E00347,2545480,0.35,0.99,1,829,0
E00348,8320273,0.96,1.0,2,562,0
E00349,6795777,0.96,0.54,2,769,1
E00350,4586865,0.42,1.01,2,715,0
E00351,3578256,0.14,1.7,0,689,0
E00352,3661757,0.26,1.85,1,574,0
E00353,5148412,0.45,1.28,0,673,0
E00354,4541194,0.95,1.18,1,566,0
E00355,6901005,0.23,0.55,3,592,0
E00356,4314048,0.79,1.82,2,552,1
E00357,6011003,0.2,0.52,1,593,1
E00358,4942150,0.98,1.92,2,612,0
E00359,5539338,0.44,1.23,2,728,0
E00360,4539887,0.8,1.01,2,749,0
E00361,6415431,0.41,1.89,0,708,0
E00362,6445080,0.66,0.54,1,681,0
E00363,5919858,0.27,1.37,1,766,0
E00364,6215028,0.23,1.32,1,780,0
E00365,3111262,0.94,0.83,1,654,1
E00366,5646491,0.93,1.14,0,582,0
E00367,7498403,0.9,1.48,0,685,0
E00368,5982809,0.66,1.59,1,848,0
E00369,2938564,0.83,0.5,1,638,1
E00370,4900466,0.16,1.91,0,554,0
E00371,5749955,0.4,0.75,3,518,0
E00372,3485200,0.38,0.85,2,847,0
E00373,2283457,0.67,0.9,2,845,0
E00374,4367804,0.42,0.56,1,766,0
E00375,3518335,0.23,0.68,0,641,0
E00376,4971421,0.64,1.98,2,815,0
E00377,1817190,0.83,0.97,0,663,1
E00378,6129402,0.44,0.67,1,751,0
E00379,3730789,0.22,0.66,1,731,0
E00380,6991504,0.28,1.58,2,796,0
E00381,4446202,0.31,1.78,1,559,0
E00382,4949221,0.37,0.89,0,521,0
E00383,4653930,0.68,0.53,2,625,0
E00384,3623680,0.64,0.83,0,602,0
E00385,9944558,0.73,0.58,2,720,0
E00386,4008267,0.43,0.66,2,609,0
E00387,7047043,0.84,1.15,0,557,1
E00388,2812742,0.28,0.84,2,564,1
E00389,5744262,0.52,1.27,1,557,0
E00390,5957744,0.82,0.88,1,657,0
E00391,4951646,0.26,1.91,0,575,0
E00392,3857990,0.2,1.86,4,518,0
E00393,4473356,0.9,1.35,2,689,0
E00394,4193420,0.41,1.03,3,749,0
E00395,9804052,0.72,1.07,2,578,0
E00396,4954793,0.12,1.12,3,583,0
E00397,6049777,0.72,1.59,2,671,0
E00398,8563250,0.38,1.18,0,711,0
E00399,3247362,0.15,1.79,2,648,0
E00400,5075320,0.65,1.92,1,509,0
E00401,4461627,0.32,1.0,1,529,0
E00402,4827723,0.45,1.34,3,779,0
E00403,4641976,0.17,0.64,0,554,0
E00404,3536245,0.23,0.8,3,626,0
E00405,5390820,0.37,1.12,2,679,0
E00406,2874734,0.18,0.81,1,731,0
E00407,6977765,0.92,1.81,2,592,0
E00408,6246619,0.11,0.74,2,507,0
E00409,4013074,0.54,1.18,2,746,0
E00410,4110033,0.21,1.41,0,830,0
E00411,5551021,0.38,1.54,1,695,0
E00412,3402909,0.93,1.07,0,662,0
E00413,8623960,0.25,1.8,1,539,0
E00414,5715851,0.97,1.35,3,753,0
E00415,5786526,0.29,1.16,1,584,0
E00416,6362890,0.77,0.6,3,771,0
E00417,3841073,0.59,1.2,0,577,0
E00418,7178019,0.9,1.73,1,712,0
E00419,5229066,0.6,1.42,1,803,0
E00420,6900290,0.58,1.75,4,754,0
E00421,4604093,0.28,1.24,4,590,0
E00422,7634556,0.25,0.68,1,692,0
E00423,5802687,0.92,0.52,1,752,0
E00424,9365014,0.4,0.95,3,777,0
E00425,4260956,0.43,1.55,1,642,0
E00426,5409098,0.78,1.69,1,743,1
E00427,2936847,0.4,0.94,2,711,0
E00428,3941403,0.96,1.24,1,694,0
E00429,6237373,0.76,1.13,2,769,0
E00430,7258648,0.64,1.12,0,828,0
E00431,10930020,0.89,0.85,1,518,1
E00432,4806742,0.14,0.7,1,539,1
E00433,3133573,0.33,0.8,0,597,0
E00434,6506651,0.52,0.58,1,503,0
E00435,2744345,0.3,0.8,1,532,0
E00436,6128554,0.77,0.51,0,798,0
E00437,3995488,0.93,1.44,3,664,0
E00438,5423189,0.48,0.97,2,526,0
E00439,7182092,0.41,1.96,2,672,0
E00440,4778533,0.97,0.79,2,836,0
E00441,6865758,0.5,1.02,1,612,0
E00442,6746317,0.54,1.04,2,594,0
E00443,1271336,0.42,0.51,2,818,0
E00444,3196798,0.92,1.76,3,732,0
E00445,1876386,0.61,0.55,1,633,0
E00446,9003474,0.79,1.91,3,623,0
E00447,4789216,0.83,1.84,1,822,0
E00448,8561658,0.41,1.3,2,615,0
E00449,1734095,0.49,1.32,1,512,0
E00450,3854463,0.86,1.48,0,819,0
E00451,6600996,0.43,1.08,2,664,0
E00452,5358549,0.81,1.47,2,707,0
E00453,6065719,0.95,0.57,0,584,1
E00454,2492383,0.66,0.58,3,747,0
E00455,7753606,0.77,1.19,0,555,0
E00456,6554032,0.82,1.32,0,671,1
E00457,5803251,0.86,1.83,2,640,0
E00458,3628779,0.46,0.66,4,631,0
E00459,5647600,0.15,1.73,1,700,0
E00460,4417020,0.46,0.82,3,788,0
E00461,1699017,0.71,1.09,3,808,0
E00462,4899154,0.51,0.97,2,844,0
E00463,4686539,0.77,1.1,1,678,0
E00464,7124803,0.42,0.73,3,528,0
E00465,531147,0.67,1.26,4,806,0
E00466,5470399,0.27,1.7,2,805,0
E00467,2688863,0.77,1.16,2,535,0
E00468,5638446,0.59,1.24,3,608,0
E00469,5748560,0.28,1.77,0,815,0
E00470,4826310,0.36,1.56,1,645,0
E00471,6614586,0.77,1.24,1,775,0
E00472,2508467,0.53,0.89,1,645,0
E00473,7215440,0.29,1.83,2,667,0
E00474,3583842,0.97,1.37,4,756,0
E00475,1888202,0.74,0.83,2,774,0
E00476,4455208,0.96,0.9,2,586,0
E00477,809684,0.48,1.7,0,653,0
E00478,5508347,0.53,0.57,4,784,0
E00479,4481499,0.91,1.99,2,814,0
E00480,7467373,0.57,0.7,1,818,0
E00481,6297848,0.74,1.69,0,597,1
E00482,2216007,0.33,1.09,2,710,0
E00483,3323225,0.5,1.24,4,547,0
E00484,6041328,0.21,1.82,0,817,0
E00485,6694158,0.29,1.12,0,773,0
E00486,7445001,0.1,1.31,2,693,0
E00487,7429018,0.14,0.57,0,751,0
E00488,4820954,0.98,0.5,1,782,0
E00489,5725311,0.32,0.87,2,761,1
E00490,7597477,0.7,1.52,1,761,0
E00491,4393383,0.86,0.68,1,530,1
E00492,5759452,0.6,0.67,0,604,0
E00493,4346238,0.24,1.12,0,849,0
E00494,3898103,0.76,1.47,0,811,0
E00495,5096770,0.64,1.57,0,668,0
E00496,3624913,0.76,0.77,2,735,0
E00497,4738168,0.79,0.62,5,773,0
E00498,2930090,0.98,1.91,2,842,0
E00499,4620011,0.62,0.89,1,729,0
E00500,5896780,0.41,1.78,4,522,0
E00501,3822472,0.68,1.8,0,663,0
E00502,5018583,0.16,1.66,1,780,0
E00503,5278685,0.91,0.75,0,506,1
E00504,5905069,0.21,1.73,2,709,0
E00505,4732840,0.4,1.65,0,752,0
E00506,7171732,0.83,1.4,0,632,0
E00507,798162,0.64,1.01,4,773,0
E00508,10875505,0.45,0.89,3,605,1
E00509,3257732,0.53,0.68,2,731,0
E00510,5806780,0.87,1.26,3,532,0
E00511,3123064,0.41,1.38,1,578,0
E00512,6288536,0.88,1.04,1,534,0
E00513,5553138,0.18,1.21,0,609,0
E00514,3698572,0.8,1.05,0,820,0
E00515,7146174,0.86,1.46,1,562,0
E00516,4672078,0.26,1.85,1,827,0
E00517,6094431,0.49,0.75,0,796,0
E00518,3165680,0.25,1.07,1,677,0
E00519,4938224,0.74,0.71,2,731,0
E00520,9006814,0.58,1.44,0,603,0
E00521,6925931,0.67,1.59,2,793,0
E00522,5615241,0.28,1.9,1,534,0
E00523,4102158,0.29,0.92,2,693,0
E00524,5134997,0.14,1.93,1,673,0
E00525,5395131,0.39,0.59,2,601,1
E00526,5898456,0.6,1.4,0,823,0
E00527,2846678,0.87,0.59,1,792,1
E00528,6336815,0.7,1.84,1,584,1
E00529,2820813,0.49,1.29,4,700,0
E00530,8262251,0.96,1.5,1,672,0
E00531,3456743,0.75,1.75,2,528,1
E00532,5593256,0.94,0.73,1,796,0
E00533,7010285,0.57,0.56,1,555,1
E00534,4495239,0.33,1.82,1,515,0
E00535,5681200,0.15,0.97,3,639,1
E00536,7870363,0.75,0.69,1,565,1
E00537,6128805,0.21,1.2,1,646,0
E00538,5711101,0.37,1.4,0,657,0
E00539,1630429,0.58,0.55,1,568,0
E00540,3132555,0.61,0.91,1,522,1
E00541,7093840,0.64,0.55,2,689,0
E00542,6139900,0.25,1.13,2,747,0
E00543,6442932,0.44,1.84,1,808,0
E00544,6270793,0.66,1.97,3,644,0
E00545,7579513,0.97,1.46,0,804,0
E00546,4477200,0.75,0.74,0,676,0
E00547,5240999,0.93,1.86,1,694,0
E00548,2942651,0.79,1.27,3,512,1
E00549,2443954,0.63,0.73,1,665,0
E00550,1712518,0.27,1.88,4,649,0
E00551,3229673,0.7,1.64,0,840,0
E00552,8105123,0.66,1.6,1,544,0
E00553,1894545,0.64,1.56,2,673,0
E00554,4392928,0.54,0.8,0,666,1
E00555,2413709,0.58,0.82,0,696,0
E00556,3798052,0.4,1.53,0,705,0
E00557,5339387,0.57,0.83,0,581,0
E00558,3599768,0.28,1.16,0,567,0
E00559,7179329,0.82,1.67,1,596,1
E00560,8067956,0.27,1.68,2,666,0
E00561,501808,0.18,1.18,3,576,0
E00562,3634015,0.49,1.69,3,736,0
E00563,5118284,0.69,1.76,3,695,0
E00564,7252234,0.49,1.48,2,790,0
E00565,4091511,0.35,0.84,1,635,0
E00566,4960129,0.6,0.91,2,807,0
E00567,2686511,0.41,0.97,1,795,0
E00568,1934408,0.94,0.68,1,535,0
E00569,7890769,0.93,0.91,1,747,1
E00570,1351860,0.55,0.81,2,753,0
E00571,9657238,0.4,1.18,1,713,0
E00572,6450302,0.76,1.86,0,751,1
E00573,6359946,0.13,0.66,0,569,0
E00574,6150937,0.53,1.58,2,733,0
E00575,4494628,0.4,1.53,0,828,0
E00576,5784169,0.93,0.64,1,515,0
E00577,4622206,0.11,1.88,1,673,0
E00578,6106146,0.6,1.35,2,686,0
E00579,4932626,0.77,1.05,3,793,0
E00580,3099303,0.54,1.63,1,724,0
E00581,3258854,0.18,0.89,1,773,0
E00582,3031455,0.98,1.54,0,511,1
E00583,6941801,0.57,0.56,4,809,0
E00584,3765106,0.65,1.76,0,718,0
E00585,1175793,0.31,1.17,2,500,0
E00586,5793677,0.54,1.46,0,610,0
E00587,8029035,0.49,0.83,0,776,0
E00588,6546166,0.17,1.52,4,628,0
E00589,3793352,0.2,1.66,4,592,0
E00590,1826376,0.85,1.21,4,538,0
E00591,4731463,0.32,1.43,1,815,0
E00592,4681552,0.28,1.18,3,658,0
E00593,3061600,0.55,1.84,3,685,0
E00594,6102074,0.79,1.25,0,755,0
E00595,8693253,0.16,1.76,0,738,0
E00596,5444565,0.62,1.7,3,603,0
E00597,5320952,0.21,1.12,1,528,0
E00598,3125543,0.13,0.85,4,588,1
E00599,7794829,0.15,1.11,2,550,0
E00600,4849711,0.85,1.74,0,646,1
E00601,3842073,0.21,0.84,0,813,0
E00602,5127376,0.14,1.29,1,535,0
E00603,5943922,0.49,1.71,1,783,0
E00604,5278430,0.86,1.03,1,600,0
E00605,7412306,0.34,1.46,1,606,0
E00606,5767943,0.48,0.87,0,844,0
E00607,4432116,0.14,0.66,1,790,0
E00608,5802384,0.5,1.69,1,848,0
E00609,5999274,0.62,0.65,2,604,1
E00610,2407248,0.61,0.91,0,720,0
E00611,7298839,0.4,1.78,3,575,0
E00612,4398191,0.38,1.02,3,726,0
E00613,4449353,0.2,1.96,0,583,0
E00614,6502751,0.43,1.97,2,575,1
E00615,6494330,0.19,0.9,5,748,0
E00616,3598336,0.79,0.56,2,754,0
E00617,6605803,0.97,1.56,0,549,0
E00618,3879103,0.97,1.18,3,709,0
E00619,8639146,0.88,0.65,0,657,0
E00620,3343612,0.64,1.56,1,827,0
E00621,5478954,0.73,0.55,2,732,1
E00622,3435964,0.36,1.81,0,576,1
E00623,9445391,0.67,0.71,1,722,1
E00624,2524358,0.51,0.69,2,620,0
E00625,6048725,0.53,0.76,1,809,0
E00626,3530179,0.78,1.94,0,826,0
E00627,4291784,0.35,1.54,1,840,0
E00628,5907075,0.39,1.7,3,606,0
E00629,7449168,0.93,1.1,3,740,0
E00630,8246793,0.15,1.0,0,527,0
E00631,1926104,0.54,0.85,5,691,0
E00632,5535502,0.92,1.22,4,748,0
E00633,7918987,0.65,1.33,2,712,0
