source_id,target_id,relationship_type,weight,interaction_freq,src_revenue,src_debt_ratio,src_liquidity,src_legal_cases,src_credit_score,src_bankrupt,tgt_revenue,tgt_debt_ratio,tgt_liquidity,tgt_legal_cases,tgt_credit_score,tgt_bankrupt
E00291,E00729,supplier,0.73,6,6004833,0.36,1.88,2,522,0,100000,0.53,0.77,2,516,0
E00014,E00729,supplier,0.85,22,3894708,0.76,1.46,1,747,0,100000,0.53,0.77,2,516,0
E01764,E00720,parent_company,0.44,46,6863959,0.66,1.86,3,558,0,6059386,0.39,0.96,1,660,0
E02696,E00720,supplier,0.11,9,6405763,0.55,1.84,0,808,0,6059386,0.39,0.96,1,660,0
E01180,E00720,co-investor,0.32,36,5460019,0.68,1.53,1,793,0,6059386,0.39,0.96,1,660,0
E01764,E00434,supplier,0.19,15,6863959,0.66,1.86,3,558,0,6506651,0.52,0.58,1,503,0
E00555,E00434,supplier,0.77,30,2413709,0.58,0.82,0,696,0,6506651,0.52,0.58,1,503,0
E01696,E00434,parent_company,0.93,4,5766200,0.22,1.49,3,638,0,6506651,0.52,0.58,1,503,0
E00539,E00434,supplier,0.62,8,1630429,0.58,0.55,1,568,0,6506651,0.52,0.58,1,503,0
E01401,E00434,shared_director,0.83,5,5213574,0.27,0.99,2,781,0,6506651,0.52,0.58,1,503,0
E01764,E01200,parent_company,0.82,36,6863959,0.66,1.86,3,558,0,584498,0.72,0.92,1,786,1
E01587,E01200,supplier,0.6,50,5095922,0.42,0.58,1,537,1,584498,0.72,0.92,1,786,1
E01610,E01200,parent_company,0.49,15,4585044,0.39,0.66,2,509,0,584498,0.72,0.92,1,786,1
E00812,E01200,shared_director,0.46,25,3584294,0.49,1.44,0,512,0,584498,0.72,0.92,1,786,1
E00245,E01200,shared_director,0.85,47,3964932,0.41,1.34,0,802,0,584498,0.72,0.92,1,786,1
E01764,E02446,co-investor,0.88,3,6863959,0.66,1.86,3,558,0,7573194,0.55,0.9,1,716,0
E00382,E02446,co-investor,0.88,1,4949221,0.37,0.89,0,521,0,7573194,0.55,0.9,1,716,0
E01284,E02446,shared_director,0.65,38,4139686,0.66,1.71,1,813,0,7573194,0.55,0.9,1,716,0
E01307,E02446,parent_company,0.13,50,4813131,0.25,1.18,1,657,0,7573194,0.55,0.9,1,716,0
E00688,E02446,co-investor,0.23,32,3220507,0.45,1.11,2,568,0,7573194,0.55,0.9,1,716,0
E01740,E02446,shared_director,0.58,23,5538048,0.6,1.78,1,814,0,7573194,0.55,0.9,1,716,0
E01760,E02446,supplier,0.49,19,3263117,0.4,1.59,1,635,0,7573194,0.55,0.9,1,716,0
E02715,E02446,supplier,0.96,10,6314729,0.47,1.2,1,531,0,7573194,0.55,0.9,1,716,0
E00489,E02446,parent_company,0.55,45,5725311,0.32,0.87,2,761,1,7573194,0.55,0.9,1,716,0
E01764,E00025,co-investor,0.43,42,6863959,0.66,1.86,3,558,0,3218313,0.91,1.16,1,810,0
E00728,E00025,parent_company,0.8,25,3706940,0.37,1.69,0,753,0,3218313,0.91,1.16,1,810,0
E01837,E00025,parent_company,0.92,34,5718366,0.15,1.45,1,769,0,3218313,0.91,1.16,1,810,0
E01764,E01705,shared_director,0.19,23,6863959,0.66,1.86,3,558,0,5066655,0.86,1.62,5,541,0
E00984,E01705,co-investor,0.79,30,5193499,0.4,1.17,0,641,0,5066655,0.86,1.62,5,541,0
E00342,E01705,co-investor,0.38,47,7621087,0.59,0.65,2,623,0,5066655,0.86,1.62,5,541,0
E00943,E02050,co-investor,0.16,48,3944446,0.77,0.67,1,655,0,6402372,0.97,1.97,0,782,0
E02080,E02050,parent_company,0.42,6,3804862,0.17,0.63,1,648,0,6402372,0.97,1.97,0,782,0
E01683,E02050,shared_director,0.92,37,4496538,0.57,1.58,2,794,0,6402372,0.97,1.97,0,782,0
E00498,E02050,shared_director,0.56,31,2930090,0.98,1.91,2,842,0,6402372,0.97,1.97,0,782,0
E00943,E01556,parent_company,0.55,42,3944446,0.77,0.67,1,655,0,7825989,0.83,1.46,0,718,0
E00561,E01556,co-investor,0.85,19,501808,0.18,1.18,3,576,0,7825989,0.83,1.46,0,718,0
E01783,E01556,shared_director,0.74,35,8027195,0.69,1.37,3,613,0,7825989,0.83,1.46,0,718,0
E00415,E01556,co-investor,0.32,44,5786526,0.29,1.16,1,584,0,7825989,0.83,1.46,0,718,0
E00002,E01556,supplier,0.3,28,5164109,0.76,1.5,2,814,1,7825989,0.83,1.46,0,718,0
E00943,E00566,shared_director,0.27,14,3944446,0.77,0.67,1,655,0,4960129,0.6,0.91,2,807,0
E02749,E00566,shared_director,0.37,39,2498607,0.92,0.6,1,796,1,4960129,0.6,0.91,2,807,0
E00943,E01421,supplier,0.39,5,3944446,0.77,0.67,1,655,0,1918413,0.48,1.49,3,618,0
E00076,E01421,co-investor,0.42,20,5310073,0.22,0.69,3,577,0,1918413,0.48,1.49,3,618,0
E00943,E01251,shared_director,0.55,11,3944446,0.77,0.67,1,655,0,5763077,0.99,1.56,0,711,0
E00299,E01251,supplier,0.46,39,3620919,0.96,0.71,1,706,0,5763077,0.99,1.56,0,711,0
E00943,E02512,parent_company,0.11,40,3944446,0.77,0.67,1,655,0,3960049,0.42,1.81,0,636,0
E01295,E02512,supplier,0.45,7,8782775,0.84,1.63,1,680,0,3960049,0.42,1.81,0,636,0
E00174,E01787,supplier,0.51,5,4905470,0.19,1.5,4,827,0,2783485,0.28,1.1,1,704,0
E00481,E01787,supplier,0.53,34,6297848,0.74,1.69,0,597,1,2783485,0.28,1.1,1,704,0
E02929,E01787,parent_company,0.26,13,7409348,0.72,0.61,0,505,0,2783485,0.28,1.1,1,704,0
E00174,E00275,shared_director,0.22,19,4905470,0.19,1.5,4,827,0,6389522,0.19,1.63,1,693,0
E01310,E00275,supplier,0.45,26,6807845,0.34,1.09,3,551,0,6389522,0.19,1.63,1,693,0
E02209,E00275,co-investor,0.48,29,100000,0.77,0.8,1,594,0,6389522,0.19,1.63,1,693,0
E00098,E00275,co-investor,0.71,12,3543369,0.62,1.03,5,806,0,6389522,0.19,1.63,1,693,0
E01011,E00275,parent_company,0.67,26,4103239,0.54,0.53,0,516,0,6389522,0.19,1.63,1,693,0
E02857,E00275,parent_company,0.85,50,5253046,0.95,1.74,4,838,0,6389522,0.19,1.63,1,693,0
E02268,E00275,parent_company,0.4,32,4588462,0.35,1.14,1,764,0,6389522,0.19,1.63,1,693,0
E00174,E01047,supplier,0.83,20,4905470,0.19,1.5,4,827,0,7376291,0.52,0.76,1,797,1
E02708,E01047,shared_director,0.82,37,4519694,0.43,0.56,6,501,0,7376291,0.52,0.76,1,797,1
E02859,E01047,co-investor,0.46,30,7026911,0.14,0.66,4,755,1,7376291,0.52,0.76,1,797,1
E01283,E02359,shared_director,0.62,46,3071191,0.44,1.59,2,550,0,6560685,0.94,1.65,1,738,0
E02102,E02359,supplier,0.79,47,5282338,0.77,1.98,2,832,0,6560685,0.94,1.65,1,738,0
E01283,E02093,co-investor,0.95,25,3071191,0.44,1.59,2,550,0,8537543,0.47,1.09,3,531,0
E02083,E02093,supplier,0.87,33,2597393,0.74,0.74,0,846,0,8537543,0.47,1.09,3,531,0
E01284,E02093,supplier,0.45,10,4139686,0.66,1.71,1,813,0,8537543,0.47,1.09,3,531,0
E00370,E02093,shared_director,0.44,43,4900466,0.16,1.91,0,554,0,8537543,0.47,1.09,3,531,0
E00403,E02093,parent_company,0.83,2,4641976,0.17,0.64,0,554,0,8537543,0.47,1.09,3,531,0
E00596,E02093,parent_company,0.69,29,5444565,0.62,1.7,3,603,0,8537543,0.47,1.09,3,531,0
E01283,E00490,parent_company,0.26,24,3071191,0.44,1.59,2,550,0,7597477,0.7,1.52,1,761,0
E01285,E00490,shared_director,0.2,5,5099157,0.23,0.93,2,533,0,7597477,0.7,1.52,1,761,0
E01528,E00490,supplier,0.26,34,5384469,0.48,1.01,5,560,1,7597477,0.7,1.52,1,761,0
E01283,E01545,shared_director,0.63,31,3071191,0.44,1.59,2,550,0,3609912,0.89,1.39,3,589,0
E01862,E01545,supplier,0.72,16,6282373,0.93,1.11,0,663,0,3609912,0.89,1.39,3,589,0
E01435,E01545,supplier,0.14,8,2789293,0.71,1.73,2,553,1,3609912,0.89,1.39,3,589,0
E01283,E02762,supplier,0.83,46,3071191,0.44,1.59,2,550,0,6021725,0.39,0.76,0,720,1
E00333,E02762,co-investor,0.33,27,6464247,0.24,0.79,3,780,0,6021725,0.39,0.76,0,720,1
E01670,E02762,parent_company,0.64,19,5845310,0.32,0.93,1,747,0,6021725,0.39,0.76,0,720,1
E02037,E02762,parent_company,0.27,49,7311770,0.86,1.23,1,786,0,6021725,0.39,0.76,0,720,1
E02089,E02762,parent_company,0.12,15,6933520,0.95,0.78,1,605,0,6021725,0.39,0.76,0,720,1
E02623,E01711,co-investor,0.2,2,4628765,0.92,1.98,2,575,0,6632145,0.69,0.98,2,775,0
E02373,E01711,co-investor,0.24,22,5933432,0.37,1.9,3,782,0,6632145,0.69,0.98,2,775,0
E00184,E01711,shared_director,0.62,37,4547509,0.14,0.97,2,785,0,6632145,0.69,0.98,2,775,0
E01293,E01711,parent_company,0.62,7,1742219,0.92,1.24,1,840,1,6632145,0.69,0.98,2,775,0
E02025,E01711,shared_director,0.18,20,3024338,0.75,1.44,1,606,0,6632145,0.69,0.98,2,775,0
E00994,E01711,shared_director,0.25,42,5695812,0.3,1.36,2,787,0,6632145,0.69,0.98,2,775,0
E02623,E00875,co-investor,0.61,39,4628765,0.92,1.98,2,575,0,4499063,0.43,0.89,1,622,0
E02623,E01938,co-investor,0.76,9,4628765,0.92,1.98,2,575,0,338690,0.75,0.93,2,695,0
E00613,E01938,supplier,0.26,32,4449353,0.2,1.96,0,583,0,338690,0.75,0.93,2,695,0
E01356,E01938,supplier,0.91,38,3314514,0.39,0.96,2,724,0,338690,0.75,0.93,2,695,0
E00349,E01938,shared_director,0.7,24,6795777,0.96,0.54,2,769,1,338690,0.75,0.93,2,695,0
E02623,E00211,supplier,0.69,21,4628765,0.92,1.98,2,575,0,3698830,0.64,1.43,1,681,0
E02162,E00211,shared_director,0.69,34,4644612,0.32,1.03,1,755,0,3698830,0.64,1.43,1,681,0
E01658,E00211,co-investor,0.82,17,2947560,0.62,0.99,3,725,0,3698830,0.64,1.43,1,681,0
E02394,E00211,supplier,0.86,40,6306386,0.29,1.45,3,608,0,3698830,0.64,1.43,1,681,0
E02290,E00211,parent_company,0.7,7,3213013,0.55,0.82,0,692,0,3698830,0.64,1.43,1,681,0
E02623,E00647,supplier,0.23,33,4628765,0.92,1.98,2,575,0,2798441,0.94,1.53,1,650,0
E00696,E00647,shared_director,0.63,41,2737093,0.94,0.68,3,541,1,2798441,0.94,1.53,1,650,0
E00982,E00647,co-investor,0.89,35,5174662,0.11,1.26,0,776,0,2798441,0.94,1.53,1,650,0
E00345,E00647,shared_director,0.71,38,4770819,0.47,1.56,1,576,0,2798441,0.94,1.53,1,650,0
E01331,E00704,shared_director,0.85,24,4589425,0.76,0.99,2,628,0,7332605,0.76,1.67,0,734,1
E00901,E00704,shared_director,0.28,40,7333097,0.62,1.85,0,784,0,7332605,0.76,1.67,0,734,1
E01623,E00704,parent_company,0.65,11,3484015,0.73,1.28,4,800,1,7332605,0.76,1.67,0,734,1
E00214,E00704,co-investor,0.62,45,5566064,0.81,1.18,1,824,0,7332605,0.76,1.67,0,734,1
E02315,E00704,supplier,0.25,50,5662683,0.48,0.55,1,847,0,7332605,0.76,1.67,0,734,1
E01331,E00693,parent_company,0.6,42,4589425,0.76,0.99,2,628,0,3303802,0.95,1.29,2,827,0
E02369,E00693,supplier,0.69,19,8818837,0.92,1.36,0,802,1,3303802,0.95,1.29,2,827,0
E01058,E00693,co-investor,0.7,27,5966850,0.33,1.58,0,683,0,3303802,0.95,1.29,2,827,0
E01712,E00693,co-investor,0.87,13,4851578,0.18,1.22,2,712,0,3303802,0.95,1.29,2,827,0
E00458,E00693,co-investor,0.47,22,3628779,0.46,0.66,4,631,0,3303802,0.95,1.29,2,827,0
E02656,E00693,shared_director,0.26,25,8469663,0.5,1.48,1,572,0,3303802,0.95,1.29,2,827,0
E02241,E00693,co-investor,0.82,12,3935375,0.41,0.83,1,668,0,3303802,0.95,1.29,2,827,0
E01331,E01303,co-investor,0.69,4,4589425,0.76,0.99,2,628,0,2803709,0.82,0.93,2,740,0
E02817,E01303,shared_director,0.16,2,4531330,0.13,0.98,0,554,0,2803709,0.82,0.93,2,740,0
E00361,E01789,supplier,0.32,38,6415431,0.41,1.89,0,708,0,3342969,0.61,0.99,1,804,0
E01567,E01789,supplier,0.31,19,5660130,0.85,1.21,5,656,0,3342969,0.61,0.99,1,804,0
E02715,E01789,co-investor,0.65,30,6314729,0.47,1.2,1,531,0,3342969,0.61,0.99,1,804,0
E01878,E01789,parent_company,0.89,23,4247735,0.7,1.62,0,786,0,3342969,0.61,0.99,1,804,0
E00361,E00531,shared_director,0.67,26,6415431,0.41,1.89,0,708,0,3456743,0.75,1.75,2,528,1
E01587,E00531,shared_director,0.96,6,5095922,0.42,0.58,1,537,1,3456743,0.75,1.75,2,528,1
E01057,E00531,parent_company,0.58,23,4468906,0.22,1.9,3,724,0,3456743,0.75,1.75,2,528,1
E01458,E00531,supplier,0.4,48,4023606,0.23,1.72,0,775,0,3456743,0.75,1.75,2,528,1
E00429,E00531,parent_company,0.14,40,6237373,0.76,1.13,2,769,0,3456743,0.75,1.75,2,528,1
E00361,E00764,parent_company,0.55,30,6415431,0.41,1.89,0,708,0,4969613,0.16,1.81,0,845,0
E00988,E00764,supplier,0.2,42,3161639,0.83,0.7,2,544,1,4969613,0.16,1.81,0,845,0
E02184,E00764,supplier,0.86,4,5564374,0.67,1.55,0,803,0,4969613,0.16,1.81,0,845,0
E01267,E00764,co-investor,0.52,13,3112298,0.38,0.52,4,506,1,4969613,0.16,1.81,0,845,0
E01711,E00764,co-investor,0.28,37,6632145,0.69,0.98,2,775,0,4969613,0.16,1.81,0,845,0
E00361,E02558,parent_company,0.98,13,6415431,0.41,1.89,0,708,0,3280999,0.89,1.81,1,748,0
E02230,E02558,shared_director,0.73,42,5581705,0.84,1.92,0,511,1,3280999,0.89,1.81,1,748,0
E01505,E02558,shared_director,0.94,36,5384585,0.79,0.84,1,795,0,3280999,0.89,1.81,1,748,0
E02216,E02558,supplier,0.86,48,1071414,0.7,0.98,1,723,0,3280999,0.89,1.81,1,748,0
E00361,E00507,supplier,0.7,40,6415431,0.41,1.89,0,708,0,798162,0.64,1.01,4,773,0
E00492,E00507,shared_director,0.2,44,5759452,0.6,0.67,0,604,0,798162,0.64,1.01,4,773,0
E00607,E00507,co-investor,0.18,19,4432116,0.14,0.66,1,790,0,798162,0.64,1.01,4,773,0
E02114,E00507,shared_director,0.5,13,2446454,0.22,0.78,0,785,0,798162,0.64,1.01,4,773,0
E00361,E00137,co-investor,0.43,49,6415431,0.41,1.89,0,708,0,9011148,0.56,1.58,1,737,0
E01232,E00137,parent_company,0.4,44,3915255,0.22,0.73,1,831,0,9011148,0.56,1.58,1,737,0
E00361,E02400,shared_director,0.83,24,6415431,0.41,1.89,0,708,0,4342801,0.94,1.21,3,637,0
E00995,E02400,shared_director,0.3,28,3383160,0.7,0.88,2,773,0,4342801,0.94,1.21,3,637,0
E02356,E02400,supplier,0.72,8,8425335,0.64,1.54,0,624,0,4342801,0.94,1.21,3,637,0
E02610,E02400,supplier,0.17,13,2925468,0.96,1.84,3,847,0,4342801,0.94,1.21,3,637,0
E01641,E02147,supplier,0.46,20,5427807,0.17,1.26,2,757,0,5857581,0.5,0.58,2,764,0
E01627,E02147,supplier,0.19,40,5495023,0.7,0.97,1,840,0,5857581,0.5,0.58,2,764,0
E00070,E02147,co-investor,0.7,15,5316511,0.89,0.61,2,626,0,5857581,0.5,0.58,2,764,0
E01641,E00227,supplier,0.43,22,5427807,0.17,1.26,2,757,0,3254738,0.93,1.72,2,677,0
E01012,E00227,shared_director,0.4,13,9020018,0.38,1.46,0,804,0,3254738,0.93,1.72,2,677,0
E00898,E00227,co-investor,0.48,2,7914391,0.23,0.6,1,639,0,3254738,0.93,1.72,2,677,0
E01641,E02847,supplier,0.77,11,5427807,0.17,1.26,2,757,0,3923527,0.58,0.63,2,602,0
E02879,E02847,supplier,0.66,15,5220779,0.67,1.59,2,543,1,3923527,0.58,0.63,2,602,0
E01908,E02847,co-investor,0.52,36,6693994,0.72,1.08,0,670,0,3923527,0.58,0.63,2,602,0
E01819,E02847,parent_company,0.47,7,4780460,0.57,1.87,0,589,0,3923527,0.58,0.63,2,602,0
E02284,E02847,co-investor,0.32,1,3975708,0.76,0.78,4,678,1,3923527,0.58,0.63,2,602,0
E01641,E02671,supplier,0.86,31,5427807,0.17,1.26,2,757,0,6216815,0.73,1.58,1,780,0
E00253,E02671,shared_director,0.28,10,6591813,0.15,0.58,4,742,0,6216815,0.73,1.58,1,780,0
E01533,E02671,co-investor,0.41,4,6977338,0.34,1.78,1,690,0,6216815,0.73,1.58,1,780,0
E00493,E02671,supplier,0.81,40,4346238,0.24,1.12,0,849,0,6216815,0.73,1.58,1,780,0
E01779,E02671,co-investor,0.31,45,3985848,0.94,0.61,4,589,0,6216815,0.73,1.58,1,780,0
E02131,E02671,parent_company,0.24,17,3039477,0.59,1.26,2,501,0,6216815,0.73,1.58,1,780,0
E01641,E02537,shared_director,0.64,47,5427807,0.17,1.26,2,757,0,1029077,0.24,1.32,2,725,0
E00128,E02537,supplier,0.87,18,7692088,0.87,1.45,1,585,1,1029077,0.24,1.32,2,725,0
E00889,E02537,co-investor,0.13,30,2100286,0.55,0.95,5,729,0,1029077,0.24,1.32,2,725,0
E01391,E00908,co-investor,0.8,5,6169006,1.0,1.04,1,635,0,3624125,0.32,1.68,3,559,0
E02494,E00908,parent_company,0.15,21,2696263,0.49,0.92,1,511,1,3624125,0.32,1.68,3,559,0
E02467,E00908,parent_company,0.3,9,4402806,0.96,1.58,0,693,0,3624125,0.32,1.68,3,559,0
E00873,E00908,parent_company,0.66,22,3755243,0.99,1.74,4,670,0,3624125,0.32,1.68,3,559,0
E01391,E00616,supplier,0.66,47,6169006,1.0,1.04,1,635,0,3598336,0.79,0.56,2,754,0
E00823,E00616,shared_director,0.46,32,3833284,0.51,1.7,2,819,0,3598336,0.79,0.56,2,754,0
E02578,E00616,parent_company,0.93,29,4587370,0.43,1.21,5,565,0,3598336,0.79,0.56,2,754,0
E00224,E00616,co-investor,0.38,6,5627723,0.64,0.61,1,831,0,3598336,0.79,0.56,2,754,0
E00735,E00616,shared_director,0.16,1,3066965,0.9,0.69,0,785,1,3598336,0.79,0.56,2,754,0
E02333,E00616,supplier,0.57,50,1701933,0.83,1.36,1,749,0,3598336,0.79,0.56,2,754,0
E02091,E02594,supplier,0.58,13,8267896,0.18,1.58,1,627,0,5590854,0.69,0.77,2,746,0
E02485,E02594,parent_company,0.39,24,7616023,0.85,1.86,3,683,1,5590854,0.69,0.77,2,746,0
E02091,E01243,shared_director,0.99,10,8267896,0.18,1.58,1,627,0,6023848,0.71,1.72,2,820,0
E01488,E01243,parent_company,0.76,20,4359816,0.68,0.63,1,682,0,6023848,0.71,1.72,2,820,0
E02329,E01243,shared_director,0.12,9,2809198,0.57,0.9,2,717,0,6023848,0.71,1.72,2,820,0
E00001,E01243,shared_director,0.44,37,6931844,0.82,0.96,3,644,1,6023848,0.71,1.72,2,820,0
E02091,E02427,co-investor,0.68,28,8267896,0.18,1.58,1,627,0,4730398,0.47,1.36,2,759,0
E01840,E02427,parent_company,0.12,20,3258965,0.58,0.94,1,720,0,4730398,0.47,1.36,2,759,0
E00666,E02427,shared_director,0.63,5,3638225,0.53,1.38,3,798,0,4730398,0.47,1.36,2,759,0
E00928,E02427,shared_director,0.25,16,2269075,0.27,0.8,3,574,0,4730398,0.47,1.36,2,759,0
E00619,E02427,co-investor,0.21,21,8639146,0.88,0.65,0,657,0,4730398,0.47,1.36,2,759,0
E00456,E02427,supplier,0.26,5,6554032,0.82,1.32,0,671,1,4730398,0.47,1.36,2,759,0
E01432,E01439,parent_company,0.31,10,2419271,0.32,1.36,2,780,0,5473163,0.4,1.54,1,672,0
E01803,E01439,parent_company,0.67,10,7379822,0.89,1.61,2,815,0,5473163,0.4,1.54,1,672,0
E01688,E01439,supplier,0.7,16,6159286,0.63,0.99,1,522,0,5473163,0.4,1.54,1,672,0
E00497,E01439,parent_company,0.62,42,4738168,0.79,0.62,5,773,0,5473163,0.4,1.54,1,672,0
E01432,E02875,supplier,0.62,24,2419271,0.32,1.36,2,780,0,2772961,0.62,1.73,1,773,0
E01944,E02875,parent_company,0.28,44,4517537,0.6,1.67,1,568,0,2772961,0.62,1.73,1,773,0
E00720,E02875,parent_company,0.23,49,6059386,0.39,0.96,1,660,0,2772961,0.62,1.73,1,773,0
E01693,E02875,supplier,0.58,22,3803148,0.82,1.79,2,526,0,2772961,0.62,1.73,1,773,0
E01049,E00809,parent_company,0.64,49,6530780,0.68,1.56,4,802,0,4097180,0.11,1.32,2,505,0
E01950,E00809,shared_director,0.64,12,3421109,0.75,1.54,4,784,0,4097180,0.11,1.32,2,505,0
E01657,E00809,co-investor,0.18,35,3898557,0.95,1.63,2,664,0,4097180,0.11,1.32,2,505,0
E01125,E00809,shared_director,0.4,14,2575820,0.32,0.64,2,719,0,4097180,0.11,1.32,2,505,0
E02440,E00809,parent_company,0.83,3,7759677,0.48,1.14,3,604,0,4097180,0.11,1.32,2,505,0
E01049,E01208,co-investor,0.12,28,6530780,0.68,1.56,4,802,0,5013736,0.37,0.93,2,790,0
E00137,E01208,supplier,0.39,7,9011148,0.56,1.58,1,737,0,5013736,0.37,0.93,2,790,0
E02758,E01208,parent_company,0.77,45,2764442,0.87,1.46,2,618,1,5013736,0.37,0.93,2,790,0
E01062,E01208,parent_company,0.42,18,6521809,0.85,0.85,0,680,0,5013736,0.37,0.93,2,790,0
E00571,E01208,shared_director,0.23,36,9657238,0.4,1.18,1,713,0,5013736,0.37,0.93,2,790,0
E00265,E01208,supplier,0.51,14,6086998,0.8,1.82,1,695,1,5013736,0.37,0.93,2,790,0
E00021,E01208,parent_company,0.63,30,2883229,0.66,0.88,0,560,0,5013736,0.37,0.93,2,790,0
E01049,E02189,co-investor,0.29,37,6530780,0.68,1.56,4,802,0,2147242,0.31,1.79,3,715,0
E02092,E02189,supplier,0.3,8,8509551,0.7,1.29,0,749,1,2147242,0.31,1.79,3,715,0
E00197,E02189,supplier,0.14,20,5893279,0.98,1.54,2,661,1,2147242,0.31,1.79,3,715,0
